asin,title,price,monthly_sales,revenue,geometry,structure,surface,confidence
B08WPQ12XX,"AquaCare High Pressure 8-mode Handheld Shower Head - Anti-clog Nozzles, Built-in",29.94,10000.0,299400.0,长条形,单体式,高亮,0
B0DQHJR1YB,BOZYBO Rain Shower Head with Handheld: High Pressure Shower Heads with Handheld ,47.45,10000.0,474500.0,圆形,组合式,高亮,0
B0GLHYCTWS,"Croix Handheld Filtered Showerhead, High Pressure, 5 Settings, ABS Plastic, Matt",129.0,200.0,25800.0,圆形,单体式,高亮,0
B0DQHFG94H,BOZYBO Rain Shower Head with Handheld: High Pressure Shower Heads with Handheld ,49.95,10000.0,499500.0,圆形,组合式,高亮,0
B098NNSVPD,"6-Setting Shower Head with Handheld, JDO High Pressure Hand held Shower Head, 4.",22.79,10000.0,227900.0,长条形,组合式,高亮,0
B07SQ4R65K,"HOPOPRO 5-Mode High Pressure Shower Head - The Washington Post, NBC News Recomme",15.99,7000.0,111930.0,异形,单体式,高亮,0
B0GVNDBCVB,"Dual Shower Head with Extra Handheld Sprayer for Couples & Families, 3 Shower He",108.99,500.0,54495.0,长条形,组合式,高亮,0
B0BB5DV24G,"BESAQUO Shower Head, 10 Functions High Pressure shower head with handheld, Built",29.95,10000.0,299500.0,长条形,组合式,高亮,0
B0FQJVSNR7,"Veken 11.8"" Rain Shower Head with Handheld, High Pressure Handheld Shower with M",49.98,6000.0,299880.0,圆形,组合式,高亮,0
B074PR4FRT,SparkPod Shower Head - High Pressure Rain - Premium Quality Luxury Design - Easy,36.99,6000.0,221940.0,圆形,单体式,高亮,0
B0DQHHCGHQ,BOZYBO Rain Shower Head with Handheld: High Pressure Shower Heads with Handheld ,49.98,7000.0,349860.0,圆形,组合式,高亮,0
B07P6MY9NX,Aisoso Shower Head High Pressure Rain Fixed Showerhead 5-Setting with Adjustable,12.34,2000.0,24680.0,圆形,单体式,高亮,0
B07SX7KNMX,Aisoso High Pressure Shower Head 3 Inches Anti-clog Anti-leak Fixed Showerhead C,9.99,2000.0,19980.0,圆形,单体式,高亮,0
B0CL4SVJQ3,SR SUN RISE Filtered Shower Head with Handheld High Pressure 9 Spray Mode Shower,26.99,6000.0,161940.0,长条形,组合式,高亮,0
B0B1WVVC9H,"Shower Head, 8"" Rain Shower Head with Handheld Spray Combo with 11'' Angle Adjus",29.99,6000.0,179940.0,圆形,组合式,高亮,0
B0CRWZ2VF2,"Delta Modern 14 Series Round Rain Shower System Faucet Set, Rainfall Brushed Gol",689.0,500.0,344500.0,圆形,单体式,高亮,0
B0BSJ1HWR6,"Delta Faucet ProClean Brushed Nickel Shower Head with Handheld, Showerhead with ",46.15,2000.0,92300.0,长条形,组合式,高亮,0
B014TIHYAM,Moen Engage Chrome Magnetix Six-Function 5.5-Inch Wide Handheld Shower Head with,40.55,2000.0,81100.0,长条形,单体式,高亮,0
B0F6BPJZLW,"FEELSO Filtered Shower Head with Handheld, High Pressure 4 Spray Showerhead with",20.99,6000.0,125939.99999999999,长条形,组合式,高亮,0
B091Y35X5X,High Pressure Handheld Shower Head Briout 5-Settings Powerful Water Spray Shower,14.99,5000.0,74950.0,长条形,单体式,高亮,0
B0CRX735SY,"Delta Modern 14 Series Square Rain Shower System Faucet Set, Rainfall Brushed Go",689.0,500.0,344500.0,方形,单体式,高亮,0
B0BD2JPRQ9,HammerHead Showers Solid Metal 2 Inch High Pressure Shower Heads - CHROME,29.95,1000.0,29950.0,异形,单体式,高亮,0
